Researcher	First Name	Surname	Title	Name	Department	Europe	North America	Latin Am. & Carribean	S SE & E Asia	Central & Western Asia	Northern Africa	Subsaharan Africa	Oceania	Artic	Critique of knowledge production	Managing Metabolic processes	Empowerment and inequality	Imagining the future	Understanding the past	Biodiversity	Air	Built Environment	Energy	Representations	Transport	Waste	Water	Food	Abiotic resources	Environment / climate	Human Wellbeing (IRIS)	Materials (IRIS)	Global Health (IRIS)	Intercultural Interaction (IRIS)	"Energy, Envir. & Transport (IRIS)"	Public Policy & Governance (IRIS)	Sustainable Cities (IRIS)	Risk & Security (IRIS)	Systems Engineering (IRIS)
APSMI28	Andrew	Smith	Mr	Charlotte Lemanski	UCL Energy Institute	1										1							1		1										1		1		
ARGRE06	Alistair	Greig	Dr	Craig Styan	Mechanical Engineering													1					1		1										1				
ARLAT03	Alan 	Latham	Dr	Claire Thomson	Geography										1	1						1		1	1														
ASCHA90	Andreas	Schafer	Prof	Catalina Turcu	UCL Energy Institute											1							1							1					1				1
ASUMM34	Alexander	Summerfield	Dr	Diman Ajeeb	UCL Energy Institute	1										1			1			1	1		1										1		1		
AVARL77	Anne 	Varley	Prof	Duncan  Smith	Geography			1	1							1						1																	
BBOKO90	OKON	BASSEY BASSEY	0	Deborah Villarroel-Lamb	School of Construction & Project Mgt	1						1				1							1			1	1												
BCAHI26	Bryan	Cahill	Mr	Dan Brett	"Civil, Environmental and Geomatic Engineering"											1						1															1		
BGARC29	GARCIA	BRIAN PAUL	0	Dina D'Ayala	School of Planning	1	1	1	1							1						1			1					1									
BGARD38	Ben	Gardner Sood	Dr	David Joseph Balding	Epidemiology & Public Health											1									1			1											
BGHEY05	Benjamin	Heydecker	Prof	David  Murrel	"Civil, Environmental and Geomatic Engineering"	1										1									1						1		1		1		1	1	1
BJCAM61	Ben	Campkin	Dr	Dejan Mumovic	School of Architecture	1									1	1	1	1	1			1		1		1							1				1		
BJFCR68	Ben	Croxford	Dr	Navaz Davoodian	The Bartlett School of Graduate Studies											1		1				1	1								1				1		1		
BJPEN61	Barbara	Penner	Dr	David Hawkins	School of Architecture	1	1					1					1					1					1				1		1				1		
BLIPI88	Barbara	Lipietz	Dr	David Dodman	Development Planning Unit											1	1						1													1	1		
BOUWE04	Kim	Bouwer	0	David Satterthwaite	UCL Energy Institute											1	1					1	1																
BPAGE79	Ben	Page	Dr	David Shipworth	Geography	1						1				1						1					1							1					
BPCLI35	Ben	Clifford	Dr	Elsa Arcaute	School of Planning	1										1	1					1														1	1		
BSCOL20	Brian	Collins		Elena Besussi	STEaPP											1						1	1		1														
BSOLA39	Baltazar	Solano Rodriguez	Mr	Eugeny Buldakov	UCL Energy Institute											1							1			1													
CACRA07	Kate	Crawford	Dr	Edward Denison	"Civil, Environmental and Geomatic Engineering"													1				1																	
CAELW60	Cliff	Elwell	Dr	Elizabeth Graham	UCL Energy Institute																		1												1				
CARDO05				Emmanuel Letier	The Bartlett School of Graduate Studies											1						1			1														
CARME79	Chiara	Armeni	Ms	0 0	Faculty of Laws	1											1						1				1			1									
CARYA67	Chanakya	Arya	Dr	Elisabete Cidre	"Civil, Environmental and Geomatic Engineering"	1												1				1																	
CAVAR71	Camilo	Vargas-Ruiz	Mr	Ema Muk-Pavic	Centre for Advanced Spatial Analysis			1								1	1					1			1														
CBLAC43	Chris	Blackman	Dr	Eleni Oikonomou	Chemistry													1					1			1	1												
CBOAN83	Camillo	Boano	Dr	Eleftheria Polykarpou	Development Planning Unit	1		1	1	1					1	1	1		1			1															1		
CDELL82	Claire	Ellul	Dr	Eric Fraga	"Civil, Environmental and Geomatic Engineering"											1								1	1														
CDUNN17	Charlie	Dunnill	Dr	Essi  Viitanen	Chemistry													1				1	1						1										
CHOWE78	Caroline	Howe	Dr	Emma Terama	"Genetics, Evolution & Environment"														1			1								1									
CJGAR26	Caroline	Garaway	Dr	Evelina Trutnevyte	Anthropology				1							1				1							1	1											
CJLIM41	CJ	Lim	Prof	Eleni Vomvyla	School of Architecture	1			1													1	1				1	1			1			1	1	1	1		
