Researcher	First Name	Surname	Title	Name	Department	Europe	North America	Latin Am. & Carribean	S SE & E Asia	Central & Western Asia	Northern Africa	Subsaharan Africa	Oceania	Artic	Critique of knowledge production	Managing Metabolic processes	Empowerment and inequality	Imagining the future	Understanding the past	Biodiversity	Air	Built Environment	Energy	Representations	Transport	Waste	Water	Food	Abiotic resources	Environment / climate	Human Wellbeing (IRIS)	Materials (IRIS)	Global Health (IRIS)	Intercultural Interaction (IRIS)	"Energy, Envir. & Transport (IRIS)"	Public Policy & Governance (IRIS)	Sustainable Cities (IRIS)	Risk & Security (IRIS)	Systems Engineering (IRIS)
MARUI77	Milagros	Ruiz	Ms	Neal Skipper	Epidemiology & Public Health												1					1									1								
MAUNG95	Hane	Aung	Dr	Nick Smith	UCL Interaction Centre											1							1																
MAUST60	Martin	Austwick	Dr	Oliver O'Brien	Centre for Advanced Spatial Analysis	1										1		1				1		1							1						1		
MBADD87	Michelle	Baddeley	Prof	Olivier Dessens	School of Construction & Project Mgt																	1	1												1		1		
MBARR49	MArk	Barrett	Dr	Maria OSSUL VERMEHREN	UCL Energy Institute										1	1						1	1		1														
MBIAN27	Marco	Bianconi	Dr	Pavlos Aleiferis	School of Planning											1	1					1																	
MBRIG09	Marc	Brightman	Dr	Paul Longley	Anthropology	1		1								1	1			1				1			1												
MCARM96	Matthew	Carmona	Prof	Panagiota Angeli	School of Planning	1										1						1																	
MCARP11	Matteo	Carpentieri	Dr	Pushpa Arabindoo	"Civil, Environmental and Geomatic Engineering"											1				1						1				1									
MCASS97	May	Cassar	Prof	Pinar Aykac	The Bartlett School of Graduate Studies	1												1	1			1																	
MCOLL55	Marjan	Colletti	Dr	Phillip Biddulph	School of Architecture										1			1				1															1		
MDAVI86	Michael	Davies	Prof	Paola Briata	School of Architecture	1												1				1	1							1			1						
MDSHI74	Michelle	Shipworth	Ms	Payel Das	UCL Energy Institute	1							1			1						1	1												1				
MEDWA44	Michael	Edwards	Mr	Paul Groves	School of Planning	1										1	1					1																	
MFRAS70	Murray	Fraser	Prof	Paul Drummond	School of Architecture					1					1	1			1			1															1		
MHAKL64	Muki	Haklay	Prof	Philippe Duffour	"Civil, Environmental and Geomatic Engineering"											1	1							1													1		
MHEIN39	Michael	Heinrich	Prof	Paul Dodds	Pharmaceutical & Biological Chemistry	1																						1					1						
MHERB08	Michael 	Hebbert	Prof	Pei Sze Chow	School of Planning	1									1	1	1		1			1				1				1							1		
MJWHI21	Michael	Whitbread	Mr	Paul Ekins	Development Planning Unit	1			1	1						1	1										1												
MLEEX08	Maria	Lee	Prof	Peter Hall	Faculty of Laws	1										1						1	1				1			1			1		1			1	
MMCMI98	Megan	McMichael	Ms	Pooya GHODDOUSI	UCL Energy Institute	1										1						1	1																
MMUHA75	MD. MUSLEH UDDIN	Hassan	0	Pascale Hofmann	Development Planning Unit				1						1	1						1			1														
mneum17	Melissa 	Neuman	Dr	Peter Raynham	Institute for Global Health											1					1	1					1												
MNFOR09	Mark 	Ford	Dr	PJ Tan	English Lang & Literature	1						1							1					1															
MPJAS93	Matthew	Ashby	0	Paola Lettieri	Security and Crime Science	1										1	1					1			1				1										
MPRAW86	Peg	Rawes	Dr	Peter Macdonald-Eggers	School of Architecture				1						1							1									1		1	1			1		
MRACO63	Mike	Raco	Prof	Peter Jones	School of Planning	1			1							1	1					1														1	1		
MREME29	Michael	Emes	dr	Pedro Ferreira	Space & Climate Physics										1	1		1				1													1			1	1
MRING31	Matthew	Ingleby	Dr	Priti Parikh	Centre for Languages & Int'l Education	1													1					1															
MRPIT61	Michael	Pitt	Prof	Patrick Rickles	The Bartlett School of Graduate Studies	1			1							1										1													
MSSTE18	Michael	Stewart	Dr	Paul Ruyssevelt	Anthropology	1											1							1															
MSTAF39	Mai	Stafford	Dr	Philippe Sands	Epidemiology & Public Health	1												1				1															1		
MSTAM43	Michail	Stamatakis	Dr	Paul Shearing	Chemical Engineering													1					1									1			1				
mtman59	Michael	Manlangit	Mr	Peter Morris	Management Science & Innovation	1										1						1																	
MUCCI66	Marcella	Ucci	Dr	Quentin Stevens	School of Architecture	1																1	1										1		1				
MWHIT11	Martine	Spinks	Dr	Judith Zhou	School of Planning	1									1	1						1																	
MWINN40	Matthew	Winning	Mr	Regner Ramos	UCL Energy Institute	1									1	1							1		1					1									
MWOOD89	Matthew	Wood-Hill	Mr	Robert Biel	Development Planning Unit	1											1					1																	
MZANG95	Mehrdad	Zangeneh	Prof	Russell Binions	Mechanical Engineering													1					1										1		1		1		
NAPHE55	Nicholas	Phelps	Prof	Richard Macrory	School of Planning	1	1								1	1	1					1																	
NATYL84	Nick	Tyler	Prof	Rebecca Collins	"Civil, Environmental and Geomatic Engineering"	1		1	1							1		1				1	1		1						1				1		1		
NCHRI60	Nicola	Christie	Dr	Rita Lambert	"Civil, Environmental and Geomatic Engineering"	1										1	1								1														
NDSTR24	Neil	Strachan	Prof	Raul Fuentes	UCL Energy Institute	1										1							1												1				
Nichola	Nichola	Smalley	0	Rob Liddiard	"School of European Languages, Culture and Society"	1																		1															
NKALT05	Nik	Kaltsoyannis	Prof	Ricardo Grau-Crespo	Chemistry													1					1																
NKARA65	Nikolaos	Karadimitriou	Dr	Robin Hickman	School of Planning	1										1						1														1	1		
NLUXF34	Naomi	Luxford	Dr	Richard Dennis	The Bartlett School of Graduate Studies													1	1			1										1							
NMGAL98	Nick	Gallent	Prof	Robert Lowe	School of Planning	1										1				1		1																	
NMITR19	Niloy	Mitra	Dr	Richard Taws	Computer Science											1								1													1		
NSSHE98	Nick	Shepley		Roger Mackett	English Lang & Literature	1													1			1		1													1		
NTSKI64	Neal	Skipper	Prof	Reem Zako	Physics & Astronomy													1					1									1							
NWSMI56	Nick	Smith		Ruth McLeod	Psychology & Language Sciences	1									1	1		1				1																	
OGTOB45	Oliver	O'Brien	Mr	Rokia Raslan	Centre for Advanced Spatial Analysis	1										1								1	1										1		1		
OPDES23	Olivier	Dessens	Dr	Ray Purdy	UCL Energy Institute	1																	1		1										1				
OSSUL70	Maria	OSSUL VERMEHREN	0	Robinson Rojas	Development Planning Unit			1								1	1					1																	
PALEI87	Pavlos	Aleiferis	Dr	Russell Hitchings	Mechanical Engineering											1		1					1		1										1				
PALON04	Paul	Longley	Prof	Roger Wotton	Geography										1	1		1				1		1									1				1	1	
PANGE44	Panagiota	Angeli	Dr	THORPE REUBEN	Chemical Engineering											1							1				1												
PARAB65	Pushpa	Arabindoo	Dr	Susanne Kuechler	Geography										1	1	1			1		1	1				1												
PAYKA93	Pinar	Aykac	0	Vincente SANDOVAL HENRIQUEZ	School of Architecture	1				1									1			1		1															
PBIDD61	Phillip	Biddulph	Dr	Martin SANZANA CALVET	UCL Energy Institute											1						1	1	1											1		1		
PBRIA11	Paola	Briata	Dr	Sandy Robertson	School of Planning	1										1	1		1			1												1		1	1		
PDASX99	Payel	Das	Dr	Sulafa Badi	The Bartlett School of Graduate Studies	1			1							1		1				1	1												1		1		
PDGRO34	Paul	Groves	Dr	Sarah CARY	"Civil, Environmental and Geomatic Engineering"											1		1				1		1															
PDRUM34	Paul	Drummond	Mr	Simone Caschili	UCL Energy Institute	1										1		1		1			1												1	1	1		
PDUFF29	Philippe	Duffour	Dr	Stephen Edwards	"Civil, Environmental and Geomatic Engineering"													1				1															1		
PEDOD24	Paul	Dodds	Dr	Susan Michie	UCL Energy Institute	1					1	1				1							1												1				
Pei Sze	Pei Sze	Chow	0	Sharon Friel	"School of European Languages, Culture and Society"	1									1							1																	
PEKIN72	Paul	Ekins	Prof	Stephen Gage	UCL Energy Institute											1	1			1			1												1	1			
PGHAL68	Peter	Hall	Prof Sir	Sam Griffiths	School of Planning	1										1		1	1			1			1												1		
PGHOD22	Pooya	GHODDOUSI	0	Serge Guillas	Geography	1				1			1		1	1			1	1																			
PHOFM71	Pascale	Hofmann	Miss	Siegfried Attender	Development Planning Unit	1		1	1		1	1				1						1				1	1						1				1		
PJRAY38	Peter	Raynham	Mr	Sinha  Nikhilesh	The Bartlett School of Graduate Studies																	1	1																
PJTAN13	PJ	Tan	Dr	Sarah Bell	Mechanical Engineering										1			1					1								1	1						1	
PLETT94	Paola	Lettieri	Dr	Simon Lock	Chemical Engineering													1					1			1						1			1		1		1
PMACD20	Peter	Macdonald-Eggers	Mr	Simon Jolly	Faculty of Laws												1	1					1																
PMJON93	Peter	Jones	Prof	Stefaan Simons	"Civil, Environmental and Geomatic Engineering"	1			1							1	1								1										1		1		
PMVFE79	Pedro	Ferreira	Dr	Simon Kuhn	"Civil, Environmental and Geomatic Engineering"	1																1																	
PPARI97	Priti	Parikh	Dr	Sarah Earl	"Civil, Environmental and Geomatic Engineering"				1			1				1	1					1									1				1		1		1
PRICK01	Patrick	Rickles	Mr	Sonia Arbaci Sallazzaro	"Civil, Environmental and Geomatic Engineering"										1	1								1															
PRUYS20	Paul	Ruyssevelt	Prof	Stephen Marshall	UCL Energy Institute	1												1					1												1		1		
PSAND39	Philippe	Sands	Prof	SUNG MIN Hong	Faculty of Laws												1			1																			
PSHEA33	Paul	Shearing	Dr	Susan Moore	Chemical Engineering													1					1																
PWGMO27	Peter	Morris	Prof	0 0	School of Construction & Project Mgt										1								1																
QSTEV34	Quentin	Stevens	Dr	Sean Hanna	School of Planning	1	1	1	1				1			1						1					1												
QZHOU43	Judith	Zhou	Dr	Sophia Psarra	"Civil, Environmental and Geomatic Engineering"													1				1				1	1												
RAMOS88	Regner	Ramos	0	Saul Purton	School of Architecture	1		1									1		1			1		1															
RBIEL78	Robert	Biel	Dr	Steven Bishop	Development Planning Unit											1	1					1						1									1		
RBINI35	Russell	Binions	Dr	Stuart Robson	Chemistry													1				1	1																
RBMAC88	Richard	Macrory	Prof	Shaun Scholes	Faculty of Laws	1											1	1								1				1									
RCCOL56	Rebecca	Collins	Ms	SINGH SHIVANI	Centre for Languages & Int'l Education											1	1									1													
RCLAM63	Rita	Lambert	Ms	Sandra Wallman	Development Planning Unit							1			1		1					1		1															
RFUEN77	Raul	Fuentes	Dr	Sandra POLANIA REYES	"Civil, Environmental and Geomatic Engineering"											1		1				1			1							1			1		1		
RGLID25	Rob	Liddiard	Mr	Simon Werrett	UCL Energy Institute											1						1	1																
RGRAU87	Ricardo	Grau-Crespo	Dr	Tashweka Anderson	Chemistry													1				1	1																
RHICK55	Robin	Hickman	Dr	Tim Atkinson	School of Planning	1			1							1		1				1			1						1				1	1	1		
RJDEN27	Richard	Dennis	Prof	Tao Cheng	Geography	1	1									1			1			1		1	1												1		
RJLOW06	Robert	Lowe	Prof	Henoc Agbota	UCL Energy Institute																		1							1									
RJTAW58	Richard	Taws	Dr	Teresa Domenech Aparisi	History of Art	1	1												1					1															
RLMAC28	Roger	Mackett	Prof	Tohid Erfani	"Civil, Environmental and Geomatic Engineering"	1										1	1								1						1				1	1	1		
RLSZA20	Reem	Zako	0	Taku Fujiyama	The Bartlett School of Graduate Studies	1										1			1			1																	
RMCLE83	Ruth	McLeod	Ms	Todd Whitelaw	Development Planning Unit											1						1															1		
RMSRA81	Rokia	Raslan	Dr	Taha Elhag	The Bartlett School of Graduate Studies	1										1	1	1				1	1								1				1		1		
RPURD14	Ray	Purdy	Mr	Tadj Oreszczyn	Faculty of Laws												1	1		1										1					1	1			
RROJA69	Robinson	Rojas	Dr	Tiziana Rossetto	Development Planning Unit										1	1	1					1									1					1	1		
RSHIT78	Russell	Hitchings	Dr	Tse-Hui Teh	Geography	1									1	1				1		1	1																
RSWOT68	Roger	Wotton	Prof	Tristan Smith	"Genetics, Evolution & Environment"																					1	1												
RTHOR43	THORPE	REUBEN	0	 	Institute of Archaeology	1				1					1				1			1				1													
SAKUE62	Susanne	Kuechler	Prof	0 0	Anthropology	1			1	1			1		1				1					1								1					1		
SANDO99	Vincente	SANDOVAL HENRIQUEZ	0	0 0	Development Planning Unit			1														1	1																
SANZA01	Martin	SANZANA CALVET	0	Paul Usher	Development Planning Unit			1								1			1	1		1				1	1												
SAROB24	Sandy	Robertson	Dr	Victor Buchli	"Civil, Environmental and Geomatic Engineering"											1						1																	
SBADI93	Sulafa	Badi	Dr	Vicki Aldridge	School of Construction & Project Mgt	1				1						1	1					1	1																
SCARY95	Sarah	CARY	0	Verena BRÛHLER	School of Planning	1	1									1						1	1																
SCASC33	Simone	Caschili	Dr	Vanesa Castan Broto	Centre for Advanced Spatial Analysis	1										1							1	1						1									
SEDWA89	Stephen	Edwards	Dr	Vivek Dua	Institute for Risk & Disaster Reduction											1		1		1							1			1									
SFMIC21	Susan	Michie	Prof	Larissa VERRI BORATTI	"Clinical, Educational and Health Psychology"											1										1							1						
SFRIE16	Sharon	Friel	Dr	Valentina Giordano	Epidemiology & Public Health	1			1				1				1					1						1		1			1						
SGAGE30	Stephen	Gage	Prof	Vicente Sandoval	School of Architecture											1		1				1	1																
SGRIF58	Sam	Griffiths	Dr	Will McDowall	The Bartlett School of Graduate Studies	1													1			1															1		
SGUIL73	Serge	Guillas	Dr	Wulf Daseking	Statistical Science											1		1				1					1			1									
siegfried-atteneder	Siegfried	Attender	PhD Student	William Burgess	Development Planning Unit	1										1						1																	
SINHA06	Sinha 	Nikhilesh	0	William Hunter	Development Planning Unit											1	1					1																	
SJBEL56	Sarah	Bell	Dr	Bill McGuire	"Civil, Environmental and Geomatic Engineering"	1		1	1				1		1	1	1		1			1					1			1					1		1		1
SJLOC41	Simon	Lock	Dr	Bill Hillier	Science & Technology Studies										1	1	1						1							1									
SJOLL79	Simon	Jolly	Dr	Xenia Karekla	Physics & Astronomy											1							1			1													
SJRSI48	Stefaan	Simons	Prof	Xavier Lemaire	UCL Australia	1				1						1	1	1					1												1		1		1
SKUHN17	Simon	Kuhn	Dr	Xiaoping Wu	Chemical Engineering											1																1			1				
SLEAR20	Sarah	Earl	Ms	Yun Bai	School of Construction & Project Mgt											1						1													1		1		
SLSAR47	Sonia	Arbaci Sallazzaro	Dr	Yves Cabannes 	School of Planning	1										1	1					1														1	1		
SMARS80	Stephen	Marshall	Dr	Yvonne Rydin	School of Planning											1						1																	
SMHON73	SUNG MIN	Hong	0	Yvonne Rogers	UCL Energy Institute	1										1						1																	
SMMOO10	Susan	Moore	Dr	Zeremariam Fre	School of Planning	1	1								1							1													1	1	1		
SN923017	0	0	0	Le-Yin Zhang	0	1										1	1					1			1														
SPHAN24	Sean	Hanna	Dr	Zaheer Nasar	The Bartlett School of Graduate Studies										1	1		1				1										1					1		
SPSAR79	Sophia	Psarra	Dr	Xiao Guo	The Bartlett School of Graduate Studies	1	1								1				1			1															1		
SPURT88	Saul	Purton	Dr	Emily Morris	Structural and Molecular Biology											1		1					1																
SRBIS03	Steven	Bishop	Prof	Kaori O'Connor	Mathematics											1		1						1											1		1	1	
SROBS78	Stuart	Robson	Prof	Richard Jackson	"Civil, Environmental and Geomatic Engineering"													1					1								1	1						1	1
SSCHO40	Shaun	Scholes	Dr	 	Institute of Epidemiology & Health											1	1					1						1											
SSING83	SINGH	SHIVANI	0	 	Institute for Global Health				1						1		1					1																	
SSWAL82	Sandra	Wallman	Prof	 	Anthropology	1						1					1					1											1						
SVPOL08	Sandra	POLANIA REYES	0	 	Economics			1							1			1																					
SWERR25	Simon	Werrett	Dr	 	Science & Technology Studies										1				1					1			1												
TANDE42	Tashweka	Anderson	Ms	 	UCL Energy Institute	1										1							1	1			1												
TCATK39	Tim	Atkinson	Prof	 	Earth Sciences													1									1												
TCHEN23	Tao	Cheng	Prof	 	"Civil, Environmental and Geomatic Engineering"										1											1					1				1		1	1	
TDHAG87	Henoc	Agbota	Dr	 	The Bartlett School of Graduate Studies	1			1	1						1			1			1		1								1			1				1
TDOME86	Teresa	Domenech Aparisi	Dr	 	UCL Energy Institute						1	1				1				1															1				
TERFA00	Tohid	Erfani	Mr	 	"Civil, Environmental and Geomatic Engineering"										1	1		1									1												
TFUJI93	Taku	Fujiyama	Dr	 	"Civil, Environmental and Geomatic Engineering"											1	1						1		1										1		1	1	1
TMREE51	Todd	Whitelaw	Prof	 	Institute of Archaeology	1												1	1			1																	
TMSEL60	Taha	Elhag	Dr	 	School of Construction & Project Mgt											1						1																	
TORES56	Tadj	Oreszczyn	Prof	 	UCL Energy Institute											1		1				1	1												1		1		
TROSS20	Tiziana	Rossetto	Dr	 	"Civil, Environmental and Geomatic Engineering"				1							1		1				1																	
TTEHX11	Tse-Hui	Teh	Dr	 	School of Planning	1												1				1					1		1		1				1		1		
TWPSM74	Tristan	Smith	Dr	 	UCL Energy Institute											1		1					1		1										1				
ucftcf			0	 	0	1				1						1						1			1														
ucftmd2	0	0	0	 	0	1										1							1																
ucftqst	0	0	0	 	0	1	1						1			1						1		1															
USHER77	Paul	Usher	0	 	UCL Energy Institute	1										1		1					1																
VABUC08	Victor	Buchli	Dr	 	Anthropology	1				1									1			1																	
VALDR38	Vicki	Aldridge	Miss	 	Institute for Child Health																							1											
VBBRA90	Verena	BRÛHLER	0	 	Institute of the Americas	1										1	1																						
VCAST43	Vanesa	Castan Broto	Dr	 	Development Planning Unit	1										1	1					1	1												1	1	1		
VDUAX49	Vivek	Dua	Dr	 	Chemical Engineering											1							1																
VERRI97	Larissa	VERRI BORATTI	0	 	Faculty of Laws											1	1					1																	
VPGIO90	Valentina	Giordano	Mrs	 	School of Planning	1										1						1			1										1	1	1		
Vxxxx	Vicente	Sandoval	PhD student	 	Development Planning Unit											1						1																	
WASMC85	Will	McDowall	Mr	 	UCL Energy Institute													1				1	1						1						1	1			
WDASK87	Wulf	Daseking	Mr	 	School of Planning	1				1						1						1			1														
WGBUR22	William	Burgess	Dr	 	Earth Sciences	1			1							1		1									1												
WHUNT85	William	Hunter	Mr	 	Development Planning Unit				1						1	1	1					1																	
WJMCG95	Bill	McGuire	Prof	 	Earth Sciences				1									1		1		1											1				1	1	
WRGHI43	Bill	Hillier	Prof	 	The Bartlett School of Graduate Studies											1						1																	
XKARE36	Xenia	Karekla	Miss	 	"Civil, Environmental and Geomatic Engineering"	1										1	1					1			1						1	1							1
XMLLE28	Xavier	Lemaire	Dr	 	UCL Energy Institute				1			1			1		1					1	1											1	1	1	1		
XWUXX34	Xiaoping	Wu	Prof	 	"Civil, Environmental and Geomatic Engineering"											1									1								1		1		1	1	1
YBAIX06	Yun	Bai	Dr	 	"Civil, Environmental and Geomatic Engineering"													1				1	1																
YCABA97	Yves	Cabannes 	Prof 	 	Development Planning Unit	1	1	1		1		1				1	1					1											1				1		
YJRYD57	Yvonne	Rydin	Prof	 	School of Planning	1	1								1	1	1	1				1	1								1				1	1	1		
YROGE95	Yvonne	Rogers	Prof	 	Computer Science													1				1		1				1			1				1		1		
ZFREX56	Zeremariam	Fre	Dr	 	Development Planning Unit						1	1				1	1																				1		
ZHANG40	Le-Yin	Zhang	Dr	 	Development Planning Unit	1			1							1	1					1	1														1		
ZNASA69	Zaheer	Nasar	Dr	 	"Civil, Environmental and Geomatic Engineering"				1	1						1		1				1																	
ZXGUO56	Xiao	Guo	Prof	 	Chemistry													1					1																
XXXEM	Emily	Morris		 	Institute of the Americas			1								1			1				1		1														
xxxKOC	Kaori	O'Connor		 	Anthropology	1	1												1									1											
XXXRJ	Richard	Jackson		 	UCL Estates											1						1	1			1	1	1											
